genome_name	domain	confidence	per_completion	per_redundancy	num_splits	total_length
Arcobacter_molluscorum_LMG_25693_F98_3	BACTERIA	1.0	97.18	0.00	203	2756560
Arcobacter_mytili_LMG_24559_CECT_7386	BACTERIA	1.0	97.18	0.00	188	2973749
Arcobacter_mytili_LMG_24559_LMG_24559	BACTERIA	1.0	97.18	0.00	151	3037595
Arcobacter_nitrofigilis_DSM_7299_DSM_7299	BACTERIA	1.0	97.18	1.41	159	3192235
Arcobacter_pacificus_LMG_26638	BACTERIA	1.0	97.18	1.41	131	2657991
Arcobacter_peruensis_PSE_93	BACTERIA	1.0	97.18	1.41	138	2816102
_Arcobacter_porcinus_117434	BACTERIA	1.0	97.18	1.41	95	1967723
_Arcobacter_porcinus_213	BACTERIA	1.0	97.18	1.41	85	1781662
_Arcobacter_porcinus_216	BACTERIA	1.0	97.18	1.41	85	1778869
_Arcobacter_porcinus_CCUG_56899	BACTERIA	1.0	97.18	1.41	100	2018219
_Arcobacter_porcinus_DU19	BACTERIA	1.0	97.18	1.41	102	1883443
Arcobacter_skirrowii_CCUG_10374_CCUG_10374_A	BACTERIA	1.0	98.59	1.41	98	1969846
Arcobacter_skirrowii_CCUG_10374_CCUG_10374_B	BACTERIA	1.0	98.59	2.82	111	1953172
Arcobacter_skirrowii_CCUG_10374_LMG_6621	BACTERIA	1.0	98.59	1.41	145	1973791
Arcobacter_sp_31_11_sub10_T18	BACTERIA	1.0	92.96	0.00	203	1955517
Arcobacter_sp_AF1028	BACTERIA	1.0	97.18	1.41	126	2414790
Arcobacter_sp_BM102	BACTERIA	1.0	98.59	1.41	163	3490316
Arcobacter_sp_BM504	BACTERIA	1.0	97.18	1.41	130	2683134
Arcobacter_sp_CECT_8983	BACTERIA	1.0	97.18	1.41	144	2737685
Arcobacter_sp_CECT_8985	BACTERIA	1.0	98.59	0.00	151	2788337
Arcobacter_sp_CECT_8986	BACTERIA	1.0	97.18	0.00	145	2648654
Arcobacter_sp_CECT_8987	BACTERIA	1.0	95.77	1.41	128	2533736
Arcobacter_sp_CECT_8989	BACTERIA	1.0	97.18	1.41	263	2927358
Arcobacter_sp_CECT_9188	BACTERIA	1.0	97.18	1.41	160	2210469
Arcobacter_sp_CECT_9230	BACTERIA	1.0	97.18	1.41	141	2426792
Arcobacter_sp_CECT_9299	BACTERIA	1.0	98.59	1.41	112	1843089
Arcobacter_sp_CPC16	BACTERIA	0.4	50.70	5.63	171	2679798
Arcobacter_sp_CPC309	BACTERIA	0.2	42.25	4.23	185	2906968
Arcobacter_sp_CSH_ALOHA_XIX_Bin_5	BACTERIA	0.6	61.97	5.63	316	2450282
Arcobacter_sp_DOLZORAL124_29_21	BACTERIA	0.6	67.61	1.41	147	1186383
Arcobacter_sp_EP1	BACTERIA	1.0	97.18	2.82	350	3005869
Arcobacter_sp_F155	BACTERIA	1.0	97.18	1.41	177	2798678
Arcobacter_sp_F2176	BACTERIA	1.0	97.18	4.23	211	3272117
Arcobacter_sp_FW59	BACTERIA	1.0	97.18	1.41	241	2578341
Arcobacter_sp_HD9_500m_PIT_SAG02	BLANK	1.0	0.00	0.00	18	162008
Arcobacter_sp_HD9_500m_PIT_SAG03	BLANK	0.8	0.00	0.00	58	397249
Arcobacter_sp_HyVt_597	BACTERIA	0.4	30.99	2.82	582	2123335
Arcobacter_sp_LA11	BACTERIA	1.0	98.59	1.41	168	3098976
Arcobacter_sp_L	BACTERIA	1.0	97.18	1.41	148	2947662
Arcobacter_sp_LMG_29976	BACTERIA	1.0	98.59	7.04	405	2191175
Arcobacter_sp_LPB0137	BACTERIA	1.0	97.18	1.41	142	2866429
Arcobacter_sp_NORP14	BACTERIA	1.0	97.18	1.41	157	3146531
Arcobacter_sp_NORP36	BACTERIA	1.0	97.18	0.00	157	3322907
Arcobacter_sp_RW43_9	BACTERIA	1.0	97.18	1.41	112	2215371
Arcobacter_sp_SM1702	BACTERIA	1.0	97.18	0.00	169	2919928
Arcobacter_sp_SZUA_449	BACTERIA	1.0	97.18	2.82	145	3023535
Arcobacter_sp_SZUA_456	BLANK	0.7	0.00	0.00	57	386814
Arcobacter_sp_UBA1348	BACTERIA	1.0	97.18	0.00	129	2843595
Arcobacter_sp_UBA2431	BACTERIA	1.0	97.18	0.00	129	2845524
Arcobacter_sp_UBA2434	BACTERIA	1.0	97.18	0.00	130	2838103
Arcobacter_sp_UBA2438	BACTERIA	1.0	97.18	0.00	136	2829374
Arcobacter_sp_UBA2443	BACTERIA	1.0	97.18	0.00	128	2758171
Arcobacter_sp_UBA4038	BACTERIA	0.7	74.65	0.00	96	2070544
Arcobacter_sp_UBA6788	BACTERIA	0.8	81.69	1.41	209	2386140
Arcobacter_sp_UBA6789	BACTERIA	0.7	71.83	1.41	128	2111771
Arcobacter_sp_UBA7394	BACTERIA	1.0	94.37	4.23	270	2539241
Arcobacter_suis_CECT_7833	BACTERIA	1.0	98.59	1.41	131	2639269
Arcobacter_thereius_LMG_24486_A	BACTERIA	1.0	97.18	1.41	95	1909306
Arcobacter_thereius_LMG_24486_B	BACTERIA	1.0	97.18	1.41	95	1915080
Arcobacter_trophiarum_LMG_25534_A	BACTERIA	1.0	98.59	4.23	95	1915613
Arcobacter_trophiarum_LMG_25534_B	BACTERIA	1.0	98.59	5.63	323	2004889
Arcobacter_venerupis_CECT7836	BACTERIA	1.0	97.18	2.82	363	3277178
Arcobacter_venerupis_LMG_26156	BACTERIA	1.0	97.18	1.41	160	3209085
Halarcobacter_bivalviorum_CECT_7835	BACTERIA	1.0	97.18	12.68	295	2745053
Halarcobacter_bivalviorum_F118_4	BACTERIA	1.0	97.18	1.41	139	2707754
Halarcobacter_bivalviorum_LMG_26154	BACTERIA	1.0	95.77	1.41	134	2684688
Halarcobacter_ebronensis_CECT_8441	BACTERIA	1.0	97.18	1.41	222	3147783
Halarcobacter_ebronensis_CECT_8993	BACTERIA	1.0	97.18	4.23	239	3227488
Halarcobacter_ebronensis_LMG_27922	BACTERIA	1.0	97.18	0.00	158	3170683
Halarcobacter_mediterraneus_F156_34	BACTERIA	1.0	98.59	2.82	157	2828874
MAG02	BACTERIA	0.9	92.96	8.45	504	1180544
Poseidonibacter_sp_JOD_M_6	BACTERIA	1.0	97.18	1.41	218	2858436
Poseidonibacter_sp_SJOD_M_33	BACTERIA	1.0	97.18	1.41	213	2958551
Poseidonibacter_sp_SJOD_M_5	BACTERIA	1.0	97.18	1.41	238	3206717
Pseudoarcobacter_acticola_KCTC_52212	BACTERIA	1.0	97.18	2.82	150	3019071
Pseudoarcobacter_caeni_RW17_10	BACTERIA	1.0	97.18	2.82	140	2415164
