genome	total_scgs	support_scgs	t_domain	t_phylum	t_class	t_order	t_family	t_genus	t_species
Arcobacter_butzleri_L354	22	22	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	None
Arcobacter_butzleri_L355	22	22	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	None
Arcobacter_butzleri_RM4018	22	22	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	None
Arcobacter_canalis_F138_33	22	21	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Malaciobacter	Malaciobacter_canalis
Arcobacter_canalis_LMG_29148	22	21	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Malaciobacter	Malaciobacter_canalis
Arcobacter_cibarius_LMG_21996	22	15	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_cibarius
Arcobacter_cloacae_CECT_7834	19	19	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	None
Arcobacter_cloacae_F26	19	19	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	None
Arcobacter_cloacae_LMG_26153	19	19	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	None
Arcobacter_cryaerophilus_ATCC_43158_ATCC_43158	22	21	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_cryaerophilus
Arcobacter_cryaerophilus_ATCC_43158_LMG_9904	22	21	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_cryaerophilus
Arcobacter_cryaerophilus_D2610	22	20	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_cryaerophilus
Arcobacter_defluvii_CECT_7697	22	16	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_sp000284235
Arcobacter_defluvii_LMG_25694	22	16	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_sp000284235
Arcobacter_ellisii_CECT_7837	23	11	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_sp002452915
Arcobacter_ellisii_LMG_26155	22	11	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_sp002452915
Arcobacter_halophilus_CCUG_53805	22	21	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Malaciobacter	Malaciobacter_halophilus
Arcobacter_halophilus_DSM_18005	22	21	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Malaciobacter	Malaciobacter_halophilus
Arcobacter_halophilus_F166_45	22	21	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Malaciobacter	Malaciobacter_canalis
Arcobacter_lanthieri_AF1430	22	21	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_lanthieri
Arcobacter_lanthieri_AF1440	22	21	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_lanthieri
Arcobacter_lanthieri_AF1581	22	20	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_lanthieri
Arcobacter_lanthieri_LMG_28516	22	21	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_lanthieri
Arcobacter_lekithochrous_DSM_100870	22	13	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Poseidonibacter	Poseidonibacter_lekithochrous
Arcobacter_lekithochrous_LFT_1_7	23	13	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Poseidonibacter	Poseidonibacter_lekithochrous
Arcobacter_lekithochrous_LMG_28652	22	11	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Poseidonibacter	Poseidonibacter_lekithochrous
Arcobacter_marinus_CECT_7727	22	21	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Malaciobacter	Malaciobacter_canalis
Arcobacter_marinus_F140_37	22	21	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Malaciobacter	Malaciobacter_canalis
Arcobacter_marinus_JCM_15502	22	21	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Malaciobacter	Malaciobacter_canalis
Arcobacter_marinus_MARC_MIP3H16	22	21	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Malaciobacter	Malaciobacter_canalis
Arcobacter_marinus_SH_4D_Col1	22	21	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Malaciobacter	Malaciobacter_canalis
Arcobacter_molluscorum_LMG_25693_CECT_7696	22	22	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Malaciobacter	Malaciobacter_molluscorum
Arcobacter_molluscorum_LMG_25693_F98_3	22	22	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Malaciobacter	Malaciobacter_molluscorum
Arcobacter_mytili_LMG_24559_CECT_7386	16	5	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Malaciobacter	Malaciobacter_halophilus
Arcobacter_mytili_LMG_24559_LMG_24559	16	5	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Malaciobacter	Malaciobacter_halophilus
Arcobacter_nitrofigilis_DSM_7299_DSM_7299	22	20	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	Arcobacter_nitrofigilis
Arcobacter_pacificus_LMG_26638	15	3	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Halarcobacter	Halarcobacter_sp003252105
Arcobacter_peruensis_PSE_93	22	22	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Poseidonibacter	Poseidonibacter_sp001956695
_Arcobacter_porcinus_117434	22	13	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_porcinus
_Arcobacter_porcinus_213	22	13	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_porcinus
_Arcobacter_porcinus_216	22	12	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_porcinus
_Arcobacter_porcinus_CCUG_56899	22	14	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_porcinus
_Arcobacter_porcinus_DU19	22	12	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_porcinus
Arcobacter_skirrowii_CCUG_10374_CCUG_10374_A	22	21	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_skirrowii
Arcobacter_skirrowii_CCUG_10374_CCUG_10374_B	22	21	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_skirrowii
Arcobacter_skirrowii_CCUG_10374_LMG_6621	22	21	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_skirrowii
Arcobacter_sp_31_11_sub10_T18	22	22	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	NORP36	NORP36_sp002163065
Arcobacter_sp_AF1028	22	16	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_faecis
Arcobacter_sp_BM102	21	21	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Halarcobacter	Halarcobacter_sp002869565
Arcobacter_sp_BM504	22	20	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	Arcobacter_sp002869535
Arcobacter_sp_CECT_8983	16	16	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	None	None
Arcobacter_sp_CECT_8985	20	11	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Malaciobacter	Malaciobacter_molluscorum
Arcobacter_sp_CECT_8986	20	16	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Malaciobacter	Malaciobacter_molluscorum
Arcobacter_sp_CECT_8987	14	4	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	UBA4036	UBA4036_sp002382325
Arcobacter_sp_CECT_8989	17	17	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	None	None
Arcobacter_sp_CECT_9188	21	19	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_lanthieri
Arcobacter_sp_CECT_9230	20	15	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_lanthieri
Arcobacter_sp_CECT_9299	21	19	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_skirrowii
Arcobacter_sp_CPC16	7	6	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Poseidonibacter	Poseidonibacter_sp002685075
Arcobacter_sp_CPC309	3	2	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Poseidonibacter	Poseidonibacter_sp001956695
Arcobacter_sp_CSH_ALOHA_XIX_Bin_5	10	9	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	NORP36	NORP36_sp002733685
Arcobacter_sp_DOLZORAL124_29_21	4	4	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	None	None
Arcobacter_sp_EP1	22	22	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	Arcobacter_sp001655195
Arcobacter_sp_F155	17	3	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Halarcobacter	Halarcobacter_sp001895145
Arcobacter_sp_F2176	22	17	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	Arcobacter_nitrofigilis
Arcobacter_sp_FW59	20	15	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_lanthieri
Arcobacter_sp_HD9_500m_PIT_SAG02	0	0	None	None	None	None	None	None	None
Arcobacter_sp_HD9_500m_PIT_SAG03	5	5	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	NORP36	NORP36_sp002163065
Arcobacter_sp_HyVt_597	1	1	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	UBA4036	UBA4036_sp002382325
Arcobacter_sp_LA11	21	20	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Halarcobacter	Halarcobacter_sp001895145
Arcobacter_sp_LMG_29976	22	19	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_cryaerophilus
Arcobacter_sp_LPB0137	22	22	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Poseidonibacter	Poseidonibacter_sp001956695
Arcobacter_sp_L	22	16	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_sp000284235
Arcobacter_sp_NORP14	21	21	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	GCA-2733885	GCA-2733885_sp002733885
Arcobacter_sp_NORP36	22	22	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	NORP36	NORP36_sp002733685
Arcobacter_sp_RW43_9	22	22	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	None
Arcobacter_sp_SM1702	21	19	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Poseidonibacter	Poseidonibacter_sp001956695
Arcobacter_sp_SZUA_449	21	21	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Halarcobacter	Halarcobacter_sp003252105
Arcobacter_sp_SZUA_456	0	0	None	None	None	None	None	None	None
Arcobacter_sp_UBA1348	22	21	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Malaciobacter	Malaciobacter_canalis
Arcobacter_sp_UBA2431	22	21	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Malaciobacter	Malaciobacter_canalis
Arcobacter_sp_UBA2434	22	21	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Malaciobacter	Malaciobacter_canalis
Arcobacter_sp_UBA2438	22	21	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Malaciobacter	Malaciobacter_canalis
Arcobacter_sp_UBA2443	22	21	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Malaciobacter	Malaciobacter_canalis
Arcobacter_sp_UBA4038	16	15	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Malaciobacter	Malaciobacter_canalis
Arcobacter_sp_UBA6788	19	12	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_sp002452915
Arcobacter_sp_UBA6789	18	11	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_sp000284235
Arcobacter_sp_UBA7394	22	14	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Poseidonibacter	Poseidonibacter_sp002470185
Arcobacter_suis_CECT_7833	21	12	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_sp003063245
Arcobacter_thereius_LMG_24486_A	22	14	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_thereius
Arcobacter_thereius_LMG_24486_B	22	14	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_thereius
Arcobacter_trophiarum_LMG_25534_A	21	14	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_cryaerophilus
Arcobacter_trophiarum_LMG_25534_B	19	14	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_cryaerophilus
Arcobacter_venerupis_CECT7836	21	12	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_sp003063245
Arcobacter_venerupis_LMG_26156	21	12	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_sp003063245
Halarcobacter_bivalviorum_CECT_7835	19	4	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_skirrowii
Halarcobacter_bivalviorum_F118_4	15	15	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	None	None
Halarcobacter_bivalviorum_LMG_26154	15	15	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	None	None
Halarcobacter_ebronensis_CECT_8441	16	7	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Halarcobacter	Halarcobacter_anaerophilus
Halarcobacter_ebronensis_CECT_8993	17	7	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Halarcobacter	Halarcobacter_anaerophilus
Halarcobacter_ebronensis_LMG_27922	16	7	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Halarcobacter	Halarcobacter_anaerophilus
Halarcobacter_mediterraneus_F156_34	15	3	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Halarcobacter	Halarcobacter_anaerophilus
MAG02	20	9	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Poseidonibacter	None
Poseidonibacter_sp_JOD_M_6	22	16	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Poseidonibacter	Poseidonibacter_sp001956695
Poseidonibacter_sp_SJOD_M_33	22	16	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Poseidonibacter	Poseidonibacter_sp001956695
Poseidonibacter_sp_SJOD_M_5	22	16	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Poseidonibacter	Poseidonibacter_sp001956695
Pseudoarcobacter_acticola_KCTC_52212	20	11	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_sp003063245
Pseudoarcobacter_caeni_RW17_10	22	22	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter_sp003063245
