TAXONOMY,Kingdom,Phylum,Class,Order,Family,Genus
ASV46,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Synechococcus_CC9902
ASV47,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,NA
ASV48,Archaea,Euryarchaeota,Thermoplasmata,Marine_Group_II,NA,NA
ASV49,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,NA
ASV51,Bacteria,Actinobacteria,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus_Actinomarina
ASV52,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_23
ASV54,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Actibacter
ASV55,Bacteria,Cloacimonetes,Cloacimonadia,Cloacimonadales,MSBL8,NA
ASV58,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,Sunxiuqinia
ASV59,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,Neptuniibacter
ASV60,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum
ASV61,Bacteria,Bacteroidetes,Rhodothermia,Balneolales,Balneolaceae,Balneola
ASV62,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA
ASV63,Bacteria,Actinobacteria,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus_Actinomarina
ASV64,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA
ASV66,Bacteria,Bacteroidetes,Rhodothermia,Balneolales,Balneolaceae,Balneola
ASV68,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,NA
ASV69,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,OM60(NOR5)_clade
ASV70,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA
ASV71,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
ASV72,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,NA,NA
ASV73,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV76,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Winogradskyella
ASV77,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA
ASV79,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquibacter
ASV80,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86_clade,NA,NA
ASV81,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Formosa
ASV82,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Synechococcus_CC9902
ASV83,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS2b_marine_group
ASV84,Archaea,Euryarchaeota,Thermoplasmata,Marine_Group_II,NA,NA
ASV85,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA
ASV86,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Synechococcus_CC9902
ASV87,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV88,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,NA
ASV89,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacter
ASV90,Bacteria,NA,NA,NA,NA,NA
ASV91,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Salinihabitans
ASV92,Bacteria,Latescibacteria,NA,NA,NA,NA
ASV94,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9_marine_group,NA
ASV96,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib
ASV97,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Candidatus_Thiobios
ASV98,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS2b_marine_group
ASV99,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Rubripirellula
ASV100,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV102,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola
ASV103,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,NA
ASV105,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Candidatus_Thiobios
ASV106,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,OM60(NOR5)_clade
ASV107,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XII,Fusibacter
ASV108,Archaea,Euryarchaeota,Thermoplasmata,Marine_Group_II,NA,NA
ASV110,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius
ASV111,Archaea,Euryarchaeota,Thermoplasmata,Marine_Group_II,NA,NA
ASV112,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacter
ASV113,Archaea,Euryarchaeota,Thermoplasmata,Marine_Group_II,NA,NA
ASV114,Archaea,Euryarchaeota,Thermoplasmata,Marine_Group_II,NA,NA
ASV115,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV118,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA
ASV120,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV122,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,Amphritea
ASV123,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA
ASV124,Bacteria,Cyanobacteria,Oxyphotobacteria,Limnotrichales,Limnotrichaceae,Limnothrix
ASV125,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidetes_VC2.1_Bac22,NA,NA
ASV130,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS7_marine_group,NA
ASV131,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV132,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta_2
ASV134,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,Draconibacterium
ASV136,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,NA
ASV138,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,Candidatus_Puniceispirillum
ASV140,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group
ASV142,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinifilaceae,NA
ASV143,Archaea,Euryarchaeota,Thermoplasmata,Marine_Group_II,NA,NA
ASV145,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Robiginitalea
ASV146,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV147,Bacteria,Actinobacteria,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus_Actinomarina
ASV148,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group
ASV149,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudooceanicola
ASV150,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9_marine_group,NA
ASV151,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus
ASV153,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma
ASV154,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313
ASV156,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,NA
ASV157,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria
ASV159,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169_marine_group,NA
ASV160,Bacteria,Cloacimonetes,Cloacimonadia,Cloacimonadales,NA,NA
ASV161,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,MWH-UniP1_aquatic_group
ASV164,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Synechococcus_CC9902
ASV165,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
ASV166,Bacteria,Marinimicrobia_(SAR406_clade),NA,NA,NA,NA
ASV167,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib
ASV168,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,NA
ASV169,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,OM60(NOR5)_clade
ASV170,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86_clade,NA,NA
ASV173,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,NA
ASV174,Archaea,Euryarchaeota,Thermoplasmata,Marine_Group_II,NA,NA
ASV177,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Rubinisphaeraceae,NA
ASV178,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
ASV179,Bacteria,Planctomycetes,OM190,NA,NA,NA
ASV182,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas
ASV183,Bacteria,Actinobacteria,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus_Actinomarina
ASV184,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,PS1_clade,NA
ASV185,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Shimia
ASV187,Bacteria,Latescibacteria,NA,NA,NA,NA
ASV189,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA
ASV190,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,NA
ASV191,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Thalassobius
ASV192,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Phormidiaceae,Trichodesmium_IMS101
ASV193,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
ASV196,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV197,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Marichromatium
ASV198,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA
ASV199,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,Draconibacterium
ASV200,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
ASV201,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86_clade,NA,NA
ASV203,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,NA
ASV205,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Synechococcus_CC9902
ASV206,Bacteria,Marinimicrobia_(SAR406_clade),NA,NA,NA,NA
ASV208,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA
ASV209,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA
ASV212,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Urania-1B-19_marine_sediment_group
ASV215,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Winogradskyella
ASV216,Bacteria,Proteobacteria,Gammaproteobacteria,HOC36,NA,NA
ASV220,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,OM60(NOR5)_clade
ASV221,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA
ASV222,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,NA
ASV225,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Cohaesibacter
ASV230,Bacteria,Marinimicrobia_(SAR406_clade),NA,NA,NA,NA
ASV231,Archaea,Euryarchaeota,Thermoplasmata,Marine_Group_II,NA,NA
ASV233,Bacteria,Proteobacteria,Gammaproteobacteria,OM182_clade,NA,NA
ASV238,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV239,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9_marine_group,NA
ASV246,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,NA
ASV247,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,NA
ASV248,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,CL500-3
ASV249,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,Carboxylicivirga
ASV253,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9_marine_group,NA
ASV256,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pirellula
ASV257,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9_marine_group,NA
ASV258,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA
ASV262,Bacteria,Marinimicrobia_(SAR406_clade),NA,NA,NA,NA
ASV263,Bacteria,Proteobacteria,Gammaproteobacteria,HOC36,NA,NA
ASV267,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
ASV268,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Thalassobius
ASV270,Bacteria,Marinimicrobia_(SAR406_clade),NA,NA,NA,NA
ASV272,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV275,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,NA
ASV277,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
ASV279,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,mle1-7
ASV280,Archaea,Euryarchaeota,Thermoplasmata,Marine_Group_III,NA,NA
ASV282,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinifilaceae,Marinifilum
ASV284,Archaea,Euryarchaeota,Thermoplasmata,Marine_Group_II,NA,NA
ASV288,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinifilaceae,Marinifilum
ASV289,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfofrigus
ASV291,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfopila
ASV293,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA
ASV294,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group
ASV295,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinifilaceae,NA
ASV296,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86_clade,NA,NA
ASV298,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_III,NA
ASV300,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Thalassobius
ASV302,Archaea,Euryarchaeota,Thermoplasmata,Marine_Group_II,NA,NA
ASV306,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV307,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,P3OB-42,NA
ASV308,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,DEV007,NA
ASV310,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Synechococcus_CC9902
ASV313,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324_clade(Marine_group_B),NA,NA
ASV317,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Lewinella
ASV318,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter
ASV320,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,NA,NA
ASV321,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,Neptuniibacter
ASV323,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib
ASV324,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,NA
ASV326,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,Neptuniibacter
ASV328,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS2b_marine_group
ASV329,Bacteria,NA,NA,NA,NA,NA
ASV331,Bacteria,Marinimicrobia_(SAR406_clade),NA,NA,NA,NA
ASV333,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,NA
ASV334,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86_clade,NA,NA
ASV336,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group
ASV337,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Synechococcus_CC9902
ASV339,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib
ASV340,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9_marine_group,NA
ASV343,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Desulfuromonas
ASV344,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996_marine_group
ASV345,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,Marinoscillum
ASV346,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,NA
ASV350,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Propionigenium
ASV351,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinifilaceae,Marinifilum
ASV353,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Sediminispirochaeta
ASV355,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group
ASV358,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella
ASV363,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Halodesulfovibrio
ASV366,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV369,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9_marine_group,NA
ASV371,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinifilaceae,NA
ASV373,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinifilaceae,NA
ASV374,Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,NA,NA
ASV376,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group
ASV378,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacter
ASV381,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,SCGC_AAA164-E04
ASV382,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA
ASV385,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,NA
ASV386,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,NA
ASV391,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,NA
ASV392,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,OM60(NOR5)_clade
ASV393,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,HIMB11
ASV398,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9_marine_group,NA
ASV400,Bacteria,Bacteroidetes,Ignavibacteria,OPB56,NA,NA
ASV402,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS7_marine_group,NA
ASV403,Bacteria,Bacteroidetes,Bacteroidia,NA,NA,NA
ASV406,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,NA
ASV407,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA
ASV408,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Thalassobius
ASV410,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tropicimonas
ASV411,Bacteria,Planctomycetes,OM190,NA,NA,NA
ASV413,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pirellula
ASV417,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XII,Fusibacter
ASV420,Archaea,Euryarchaeota,Thermoplasmata,Marine_Group_II,NA,NA
ASV422,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter
ASV423,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV424,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib
ASV427,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,NA
ASV428,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,NA
ASV429,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA
ASV431,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
ASV433,Bacteria,Kiritimatiellaeota,Kiritimatiellae,Kiritimatiellales,Kiritimatiellaceae,R76-B128
ASV436,Bacteria,Bacteroidetes,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,IheB3-7
ASV437,Bacteria,Planctomycetes,OM190,NA,NA,NA
ASV438,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,NA
ASV440,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Salinirepens
ASV445,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV450,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,NA
ASV454,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Litoricolaceae,Litoricola
ASV455,Bacteria,Kiritimatiellaeota,Kiritimatiellae,Kiritimatiellales,Kiritimatiellaceae,R76-B128
ASV458,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,MWH-UniP1_aquatic_group
