genome_id	isolation_category	organism	strain_or_isolate	sample_information	bioproject	biosample	assembly_accession	taxid	species_taxid	doi_publication	assembly_level	seq_rel_date	ftp_path	submitter
Arcobacter_butzleri_JV22_A	vertebrate_host	Arcobacter butzleri JV22	JV22	Homo sapiens|gastrointestinal tract	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA53195" target="_blank">PRJNA53195</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN00210774" target="_blank">SAMN00210774</a>	GCA_000185325.1	<a href="https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1447256" target="_blank">1447256</a>	28197	no pub	Scaffold	1/14/11	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/185/325/GCA_000185325.1_ASM18532v1" target="_blank">FTP link</a>	Baylor College of Medicine
Arcobacter_butzleri_L348	sewage	Arcobacter butzleri L348	L348	Sewage Outfall	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA233527" target="_blank">PRJNA233527</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN02581416" target="_blank">SAMN02581416</a>	GCA_001010585.1	<a href="https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1447257" target="_blank">1447257</a>	28197	<a href="https://doi.org/10.1186/s12866-015-0426-4" target="_blank">DOI</a>	Scaffold	5/19/15	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/010/585/GCA_001010585.1_A.butzleri_L348_1.0" target="_blank">FTP link</a>	Agriculture and Agri-Food Canada
Arcobacter_butzleri_L349	vertebrate_host	Arcobacter butzleri L349	L349	Diarrheic Human Stool	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA233527" target="_blank">PRJNA233527</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN02581417" target="_blank">SAMN02581417</a>	GCA_001010605.1	<a href="https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1447259" target="_blank">1447259</a>	28197	<a href="https://doi.org/10.1186/s12866-015-0426-4" target="_blank">DOI</a>	Scaffold	5/19/15	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/010/605/GCA_001010605.1_A.butzleri_L349_1.0" target="_blank">FTP link</a>	Agriculture and Agri-Food Canada
Arcobacter_butzleri_L351	vertebrate_host	Arcobacter butzleri L351	L351	Healthy Human Stool	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA233527" target="_blank">PRJNA233527</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN02581419" target="_blank">SAMN02581419</a>	GCA_001010615.1	<a href="https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1447260" target="_blank">1447260</a>	28197	<a href="https://doi.org/10.1186/s12866-015-0426-4" target="_blank">DOI</a>	Scaffold	5/19/15	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/010/615/GCA_001010615.1_A.butzleri_L351_1.0" target="_blank">FTP link</a>	Agriculture and Agri-Food Canada
Arcobacter_butzleri_L352	vertebrate_host	Arcobacter butzleri L352	L352	Diarrheic Human Stool	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA233527" target="_blank">PRJNA233527</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN02581420" target="_blank">SAMN02581420</a>	GCA_001010675.1	<a href="https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=367737" target="_blank">367737</a>	28197	<a href="https://doi.org/10.1186/s12866-015-0426-4" target="_blank">DOI</a>	Contig	5/19/15	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/010/675/GCA_001010675.1_A.butzleri_L352_1.0" target="_blank">FTP link</a>	Agriculture and Agri-Food Canada
Arcobacter_butzleri_RM4018	vertebrate_host	Arcobacter butzleri RM4018	RM4018	human	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA16319" target="_blank">PRJNA16319</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN02604276" target="_blank">SAMN02604276</a>	GCA_000014025.1	<a href="https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1912871" target="_blank">1912871</a>	28197	<a href="https://doi.org/10.1371/journal.pone.0001358" target="_blank">DOI</a>	Complete Genome	9/27/07	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/025/GCA_000014025.1_ASM1402v1" target="_blank">FTP link</a>	USDA - Agricultural Research Service, USA
Arcobacter_canalis_F138_33	invertebrate_host	Arcobacter canalis	F138-33	oysters	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA369468" target="_blank">PRJNA369468</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN07360936" target="_blank">SAMN07360936</a>	GCA_002723485.1	<a href="https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1442598" target="_blank">1442598</a>	1912871	<a href="https://doi.org/10.3389/fmicb.2018.02077" target="_blank">DOI</a>	Contig	10/24/17	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/723/485/GCA_002723485.1_ASM272348v1" target="_blank">FTP link</a>	Universitat Rovira i Virgili
Arcobacter_cibarius_LMG_21996	vertebrate_host	Arcobacter cibarius LMG 21996	LMG 21996	chicken|broiler skin	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA232856" target="_blank">PRJNA232856</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN02641481" target="_blank">SAMN02641481</a>	GCA_000522465.1	<a href="https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1054034" target="_blank">1054034</a>	255507	<a href="https://doi.org/10.1128/genomeA.00034-14" target="_blank">DOI</a>	Contig	1/23/14	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/522/465/GCA_000522465.1_Arcobacter_cibarius_LMG21996" target="_blank">FTP link</a>	Agriculture and Agri-Food Canada
Arcobacter_cloacae_CECT_7834	sewage	Arcobacter cloacae	CECT 7834	Sewage	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA412344" target="_blank">PRJNA412344</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN07709793" target="_blank">SAMN07709793</a>	GCA_004115805.1	<a href="https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1054034" target="_blank">1054034</a>	1054034	<a href="https://doi.org/10.3389/fmicb.2018.02077" target="_blank">DOI</a>	Contig	1/28/19	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/115/805/GCA_004115805.1_ASM411580v1" target="_blank">FTP link</a>	Universitat Rovira i Virgili
Arcobacter_cloacae_F26	invertebrate_host	Arcobacter cloacae	F26	mussel	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA412344" target="_blank">PRJNA412344</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN07767222" target="_blank">SAMN07767222</a>	GCA_004116535.1	<a href="https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1032070" target="_blank">1032070</a>	1054034	<a href="https://doi.org/10.3389/fmicb.2018.02077" target="_blank">DOI</a>	Contig	1/29/19	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/116/535/GCA_004116535.1_ASM411653v1" target="_blank">FTP link</a>	Universitat Rovira i Virgili
Arcobacter_cryaerophilus_ATCC_43158	vertebrate_host	Arcobacter cryaerophilus ATCC 43158	ATCC 43158	bovine|Aborted bovine fetus, brain	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA66817" target="_blank">PRJNA66817</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN03737948" target="_blank">SAMN03737948</a>	GCA_003660105.1	<a href="https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1032071" target="_blank">1032071</a>	28198	<a href="https://doi.org/10.1128/MRA.01463-18" target="_blank">DOI</a>	Complete Genome	10/16/18	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/660/105/GCA_003660105.1_ASM366010v1" target="_blank">FTP link</a>	USDA, ARS, WRRC
Arcobacter_cryaerophilus_D2610	vertebrate_host	Arcobacter cryaerophilus D2610	D2610	Homo sapiens|blood	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA66819" target="_blank">PRJNA66819</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN03737949" target="_blank">SAMN03737949</a>	GCA_003660085.1	<a href="https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=873191" target="_blank">873191</a>	28198	<a href="https://doi.org/10.1128/MRA.01463-18" target="_blank">DOI</a>	Complete Genome	10/16/18	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/660/085/GCA_003660085.1_ASM366008v1" target="_blank">FTP link</a>	USDA, ARS, WRRC
Arcobacter_defluvii_CECT_7697	sewage	Arcobacter defluvii	CECT 7697	Sewage	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA412344" target="_blank">PRJNA412344</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN07709794" target="_blank">SAMN07709794</a>	GCA_004115775.1	<a href="https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=913109" target="_blank">913109</a>	873191	<a href="https://doi.org/10.3389/fmicb.2018.02077" target="_blank">DOI</a>	Contig	1/28/19	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/115/775/GCA_004115775.1_ASM411577v1" target="_blank">FTP link</a>	Universitat Rovira i Virgili
Arcobacter_ellisii_CECT_7837	invertebrate_host	Arcobacter ellisii	CECT 7837	Mussel	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA412344" target="_blank">PRJNA412344</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN07709795" target="_blank">SAMN07709795</a>	GCA_004115815.1	<a href="https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=197482" target="_blank">197482</a>	913109	<a href="https://doi.org/10.3389/fmicb.2018.02077" target="_blank">DOI</a>	Contig	1/28/19	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/115/815/GCA_004115815.1_ASM411581v1" target="_blank">FTP link</a>	Universitat Rovira i Virgili
Arcobacter_halophilus_DSM_18005	marine_surface	Arcobacter halophilus	DSM 18005	Hipersaline lagoon	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA412344" target="_blank">PRJNA412344</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN07709796" target="_blank">SAMN07709796</a>	GCA_002837275.1	<a href="https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=197482" target="_blank">197482</a>	197482	<a href="https://doi.org/10.3389/fmicb.2018.02077" target="_blank">DOI</a>	Scaffold	12/12/17	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/837/275/GCA_002837275.1_ASM283727v1" target="_blank">FTP link</a>	Universitat Rovira i Virgili
Arcobacter_halophilus_F166_45	invertebrate_host	Arcobacter halophilus	F166-45	oyster	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA412344" target="_blank">PRJNA412344</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN07767223" target="_blank">SAMN07767223</a>	GCA_004135665.1	<a href="https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1355374" target="_blank">1355374</a>	197482	<a href="https://doi.org/10.3389/fmicb.2018.02077" target="_blank">DOI</a>	Contig	2/4/19	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/135/665/GCA_004135665.1_ASM413566v1" target="_blank">FTP link</a>	Universitat Rovira i Virgili
Arcobacter_lanthieri_AF1440	vertebrate_host	Arcobacter lanthieri	AF1440	pig|female pig fecal storage tank	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA235329" target="_blank">PRJNA235329</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN02951874" target="_blank">SAMN02951874</a>	GCA_000585115.1	<a href="https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1355374" target="_blank">1355374</a>	1355374	<a href="https://doi.org/10.1128/genomeA.00377-14" target="_blank">DOI</a>	Contig	3/3/14	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/585/115/GCA_000585115.1_Arcobacter_lanthierii_AF1440" target="_blank">FTP link</a>	Agriculture and Agri-Food Canada
Arcobacter_lanthieri_AF1581	vertebrate_host	Arcobacter lanthieri	AF1581	cattle|dairy cow manure storage tank	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA235330" target="_blank">PRJNA235330</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN02951875" target="_blank">SAMN02951875</a>	GCA_000585195.1	<a href="https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1904463" target="_blank">1904463</a>	1355374	<a href="https://doi.org/10.1128/genomeA.00377-14" target="_blank">DOI</a>	Scaffold	3/4/14	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/585/195/GCA_000585195.1_Arcobacter_lanthierii_AF1581" target="_blank">FTP link</a>	Agriculture and Agri-Food Canada
Arcobacter_lekithochrous_LFT_1_7	invertebrate_host	Arcobacter lekithochrous	LFT 1.7	scallop larvae	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA315279" target="_blank">PRJNA315279</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN04555171" target="_blank">SAMN04555171</a>	GCA_001878855.1	<a href="https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1904463" target="_blank">1904463</a>	1904463	<a href="https://doi.org/10.1099/ijsem.0.001809" target="_blank">DOI</a>	Contig	11/14/16	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/878/855/GCA_001878855.1_ASM187885v1" target="_blank">FTP link</a>	Universidad de Santiago de Compostela
Arcobacter_lekithochrous_LMG_28652	invertebrate_host	Arcobacter lekithochrous	LMG 28652	Haliotis gigantea	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA448508" target="_blank">PRJNA448508</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN08848610" target="_blank">SAMN08848610</a>	GCA_003049765.1	<a href="https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=505249" target="_blank">505249</a>	1904463	<a href="https://doi.org/10.1099/ijsem.0.002909" target="_blank">DOI</a>	Contig	4/12/18	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/049/765/GCA_003049765.1_ASM304976v1" target="_blank">FTP link</a>	University of Santiago de Compostela
Arcobacter_marinus_CECT_7727	marine_surface	Arcobacter marinus	CECT 7727	Sea water	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA411818" target="_blank">PRJNA411818</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN07688432" target="_blank">SAMN07688432</a>	GCA_002723495.1	<a href="https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=505249" target="_blank">505249</a>	505249	<a href="https://doi.org/10.3389/fmicb.2018.02077" target="_blank">DOI</a>	Contig	10/24/17	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/723/495/GCA_002723495.1_ASM272349v1" target="_blank">FTP link</a>	Universitat Rovira i Virgili
Arcobacter_marinus_F140_37	invertebrate_host	Arcobacter marinus	F140-37	clams	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA369468" target="_blank">PRJNA369468</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN07360937" target="_blank">SAMN07360937</a>	GCA_002723475.1	<a href="https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=505249" target="_blank">505249</a>	505249	<a href="https://doi.org/10.3389/fmicb.2018.02077" target="_blank">DOI</a>	Contig	10/24/17	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/723/475/GCA_002723475.1_ASM272347v1" target="_blank">FTP link</a>	Universitat Rovira i Virgili
Arcobacter_marinus_MARC_MIP3H16	marine_subsurface	Arcobacter marinus	MARC-MIP3H16	no data	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA369869" target="_blank">PRJNA369869</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN06295946" target="_blank">SAMN06295946</a>	GCA_002934525.1	<a href="https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=505249" target="_blank">505249</a>	505249	<a href="https://doi.org/10.1128/genomeA.00159-18" target="_blank">DOI</a>	Scaffold	2/21/18	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/934/525/GCA_002934525.1_ASM293452v1" target="_blank">FTP link</a>	DOE Joint Genome Institute
Arcobacter_marinus_SH_4D_Col1	marine_subsurface	Arcobacter marinus	UTICA-S4D1	no data	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJEB19698" target="_blank">PRJEB19698</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN06295997" target="_blank">SAMN06295997</a>	GCA_900168035.1	<a href="https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=870501" target="_blank">870501</a>	505249	<a href="https://doi.org/10.1128/genomeA.00159-18" target="_blank">DOI</a>	Scaffold	3/8/17	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/168/035/GCA_900168035.1_IMG-taxon_2703719342_annotated_assembly" target="_blank">FTP link</a>	DOE - JOINT GENOME INSTITUTE
Arcobacter_molluscorum_LMG_25693_F98_3	invertebrate_host	Arcobacter molluscorum LMG 25693	F98-3	Mussel	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA412151" target="_blank">PRJNA412151</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN07701800" target="_blank">SAMN07701800</a>	GCA_002701265.1	<a href="https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1032238" target="_blank">1032238</a>	1032072	<a href="https://doi.org/10.3389/fmicb.2018.02077" target="_blank">DOI</a>	Contig	10/24/17	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/701/265/GCA_002701265.1_ASM270126v1" target="_blank">FTP link</a>	Universitat Rovira i Virgili
Arcobacter_mytili_LMG_24559	invertebrate_host	Arcobacter mytili LMG 24559	LMG 24559	Mussels	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA66823" target="_blank">PRJNA66823</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN03737955" target="_blank">SAMN03737955</a>	GCA_003346775.1	<a href="https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=572480" target="_blank">572480</a>	603050	<a href="https://doi.org/10.1128/MRA.01078-18" target="_blank">DOI</a>	Complete Genome	7/31/18	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/346/775/GCA_003346775.1_ASM334677v1" target="_blank">FTP link</a>	USDA, ARS, WRRC
Arcobacter_nitrofigilis_DSM_7299	marine_subsurface	Arcobacter nitrofigilis DSM 7299	DSM 7299	roots of the marshplant Spartina alterniflora in Nova Scotia, Canada	<a href="https://www.ncbi.nlm.nih.gov/bioproject/PRJNA32593" target="_blank">PRJNA32593</a>	<a href="https://www.ncbi.nlm.nih.gov/biosample/SAMN02598489" target="_blank">SAMN02598489</a>	GCA_000092245.1	<a href="https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1080223" target="_blank">1080223</a>	28199	<a href="https://doi.org/10.4056/sigs.912121" target="_blank">DOI</a>	Complete Genome	5/17/10	<a href="ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/245/GCA_000092245.1_ASM9224v1" target="_blank">FTP link</a>	US DOE Joint Genome Institute (JGI-PGF)
